"id","file_name"
1,"tracking.course-v1_ITMOUniversity+DATANTECH2035+summer_2022_1.2022-W34.log"
2,"tracking.course-v1_ITMOUniversity+DATANTECH2035+summer_2022_1.2022-W36.log"
